"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2021","52.900","53.800","53.800","52.050","445.41K","-1.12%"
"03/16/2021","53.500","52.600","54.000","52.600","297.80K","1.33%"
"03/15/2021","52.800","54.000","54.000","52.500","945.18K","-2.58%"
"03/12/2021","54.200","53.800","54.800","53.500","647.76K","0.74%"
"03/11/2021","53.800","54.000","54.000","53.550","846.75K","-0.37%"
"03/10/2021","54.000","53.800","54.000","53.100","1.35M","0.37%"
"03/09/2021","53.800","52.850","53.800","51.000","720.96K","3.36%"
"03/08/2021","52.050","54.000","54.700","51.000","1.31M","-2.25%"
"03/05/2021","53.250","54.550","54.950","53.250","1.09M","-2.38%"
"03/04/2021","54.550","54.200","55.450","54.050","879.96K","2.44%"
"03/03/2021","53.250","55.700","55.700","53.250","3.43M","-4.40%"
"03/02/2021","55.700","56.750","56.900","55.450","571.86K","-1.50%"
"03/01/2021","56.550","56.800","56.800","55.750","358.79K","0.00%"
"02/26/2021","56.550","54.000","56.950","53.550","699.95K","4.72%"
"02/24/2021","54.000","55.000","55.000","53.900","491.53K","-0.74%"
"02/23/2021","54.400","55.500","55.900","54.150","887.86K","-2.68%"
"02/22/2021","55.900","57.500","57.900","55.450","1.67M","-1.93%"
"02/19/2021","57.000","58.450","58.450","57.000","756.01K","-2.65%"
"02/18/2021","58.550","57.900","58.550","57.050","778.50K","1.12%"
"02/17/2021","57.900","57.500","58.200","57.500","1.07M","1.58%"
"02/16/2021","57.000","57.950","58.700","57.000","1.25M","-1.55%"
"02/15/2021","57.900","56.800","58.450","56.800","689.69K","2.39%"
"02/11/2021","56.550","58.250","58.400","56.550","4.04M","-1.65%"
"02/10/2021","57.500","57.000","59.400","56.900","18.58M","0.88%"
"02/09/2021","57.000","57.000","58.000","56.850","1.78M","0.00%"
"02/08/2021","57.000","58.200","58.200","57.000","1.36M","-2.06%"
"02/05/2021","58.200","57.600","58.550","57.500","2.08M","1.39%"
"02/04/2021","57.400","58.950","58.950","57.400","2.00M","-1.03%"
"02/03/2021","58.000","60.950","60.950","57.800","2.75M","-3.33%"
"02/02/2021","60.000","61.750","62.000","60.000","1.04M","-2.04%"
"02/01/2021","61.250","62.000","62.000","60.500","979.40K","0.16%"
"01/29/2021","61.150","62.000","62.000","60.500","753.26K","-1.37%"
"01/28/2021","62.000","62.500","63.000","62.000","506.55K","-2.97%"
"01/27/2021","63.900","62.000","63.950","61.700","267.65K","3.06%"
"01/26/2021","62.000","62.200","62.200","61.950","553.91K","-0.32%"
"01/25/2021","62.200","62.250","62.800","62.150","634.31K","-0.64%"
"01/22/2021","62.600","63.000","63.000","62.300","546.98K","-0.63%"
"01/21/2021","63.000","64.000","64.000","62.850","618.49K","-2.17%"
"01/20/2021","64.400","62.900","64.400","62.800","377.65K","2.30%"
"01/19/2021","62.950","63.200","63.500","62.950","605.92K","-0.08%"
"01/18/2021","63.000","63.050","63.100","62.600","2.20M","0.00%"
"01/15/2021","63.000","63.800","63.900","63.000","720.12K","-1.18%"
"01/14/2021","63.750","63.700","63.750","63.400","706.28K","0.00%"
"01/13/2021","63.750","63.900","64.000","63.700","205.22K","-0.31%"
"01/12/2021","63.950","65.000","65.000","63.600","279.28K","-0.31%"
"01/11/2021","64.150","63.500","64.650","63.500","170.83K","1.50%"
"01/08/2021","63.200","62.750","63.750","62.750","1.96M","0.72%"
"01/07/2021","62.750","63.000","64.000","62.700","1.45M","-0.40%"
"01/06/2021","63.000","63.000","63.750","62.050","519.53K","0.00%"
"01/05/2021","63.000","64.750","64.750","62.850","327.73K","-2.78%"
"01/04/2021","64.800","66.450","66.450","64.800","1.13M","-0.31%"
"12/29/2020","65.000","66.000","66.650","65.000","599.37K","-1.52%"
"12/28/2020","66.000","65.500","66.500","65.050","298.70K","1.46%"
"12/23/2020","65.050","66.000","66.000","65.050","523.79K","-1.44%"
"12/22/2020","66.000","66.700","66.800","65.950","415.15K","-0.38%"
"12/21/2020","66.250","66.300","67.850","66.250","1.07M","0.00%"
"12/18/2020","66.250","68.400","68.500","66.150","700.66K","-2.57%"
"12/17/2020","68.000","67.300","68.300","67.100","234.43K","1.49%"
"12/16/2020","67.000","66.200","67.000","66.200","507.00K","1.36%"
"12/15/2020","66.100","68.000","68.000","66.100","619.66K","-1.27%"
"12/14/2020","66.950","68.000","68.450","66.950","444.29K","-0.45%"
"12/11/2020","67.250","66.900","68.500","66.900","734.32K","0.82%"
"12/10/2020","66.700","67.750","67.850","66.500","733.68K","-1.04%"
"12/09/2020","67.400","68.700","69.000","65.500","1.11M","-1.89%"
"12/07/2020","68.700","68.350","69.000","68.350","311.57K","0.51%"
"12/04/2020","68.350","69.150","69.300","67.950","705.39K","-0.58%"
"12/03/2020","68.750","68.900","69.100","68.500","289.55K","-0.22%"
"12/02/2020","68.900","69.000","69.000","67.000","199.69K","-0.14%"
"12/01/2020","69.000","68.000","69.000","67.800","449.67K","1.47%"
"11/27/2020","68.000","68.000","68.150","67.450","298.20K","0.59%"
"11/26/2020","67.600","68.000","68.350","66.000","326.48K","-0.59%"
"11/25/2020","68.000","68.000","70.000","67.150","515.25K","0.22%"
"11/24/2020","67.850","69.000","69.000","67.600","434.82K","-1.67%"
"11/23/2020","69.000","69.600","70.000","69.000","319.18K","-0.58%"
"11/20/2020","69.400","69.850","70.050","68.550","608.88K","-0.64%"
"11/19/2020","69.850","67.550","69.850","67.500","357.17K","3.48%"
"11/18/2020","67.500","67.200","67.500","66.700","195.95K","0.67%"
"11/17/2020","67.050","66.200","67.300","66.200","367.78K","1.59%"
"11/16/2020","66.000","67.000","67.500","66.000","800.94K","-1.49%"
"11/13/2020","67.000","65.000","67.600","64.750","988.90K","3.32%"
"11/11/2020","64.850","64.950","65.700","64.850","1.31M","-0.15%"
"11/10/2020","64.950","65.000","66.050","64.550","410.56K","0.85%"
"11/09/2020","64.400","65.000","66.000","63.850","397.89K","-0.92%"
"11/06/2020","65.000","65.000","65.950","65.000","317.71K","0.00%"
"11/05/2020","65.000","64.750","65.700","64.750","701.52K","0.54%"
"11/04/2020","64.650","64.050","65.800","64.050","639.39K","0.94%"
"11/03/2020","64.050","64.000","65.850","63.550","307.85K","0.08%"
"10/30/2020","64.000","64.000","64.150","63.950","439.61K","-0.62%"
"10/29/2020","64.400","65.000","65.000","64.000","617.77K","-0.92%"
"10/28/2020","65.000","65.000","66.150","64.850","801.63K","0.15%"
"10/27/2020","64.900","65.600","66.250","64.500","496.01K","-0.46%"
"10/26/2020","65.200","67.600","67.650","65.200","165.67K","-1.44%"
"10/23/2020","66.150","66.500","66.700","65.900","1.06M","-0.08%"
"10/22/2020","66.200","68.000","68.000","66.200","488.88K","-2.65%"
"10/21/2020","68.000","68.000","68.000","67.500","196.36K","0.00%"
"10/20/2020","68.000","68.000","68.200","67.800","522.45K","1.49%"
"10/19/2020","67.000","67.000","67.950","65.600","529.90K","2.29%"
"10/16/2020","65.500","66.000","67.000","65.500","617.62K","-2.60%"
"10/15/2020","67.250","66.800","67.250","65.300","112.96K","0.37%"
"10/14/2020","67.000","66.300","67.000","66.200","61.18K","1.06%"
"10/13/2020","66.300","65.000","67.000","65.000","263.78K","3.19%"
"10/12/2020","64.250","64.000","65.000","63.700","568.32K","0.94%"
"10/09/2020","63.650","64.300","64.300","63.500","567.22K","-2.00%"
